Player,TeamPos,Pts,Ave
Gerald Everett,LARTE,82.6,5.2
Jordan Thomas,HouTE,67.3,4.2
Jason Witten,DalTE,116.4,7.3
Michael Crabtree,AriWR,75.1,4.7
Robert Foster,BufWR,80.6,5
KeeSean Johnson,AriWR,73.7,4.6
Danny Amendola,DetWR,116.2,7.7
Rex Burkhead,NERB,63.8,4.3
Dexter Williams,GBRB,48.1,3.2
Andy Dalton,CinQB,235.3,15.7
Eli Manning,NYGQB,157.9,15.8
Nick Foles,JaxQB,194.7,13.9
Joe Flacco,DenQB,161.7,14.7
Ryan Fitzpatrick,MiaQB,91.5,15.3
Trent TaylorD,SFWR,79.3,5
Marquise Goodwin,SFWR,74.8,4.7
Diontae Johnson,PitWR,64.4,4
Antonio CallawaySSPD,CleWR,53.4,3.3
Breshad Perriman,TBWR,83.6,5.2
Wayne Gallman,NYGRB,37.9,2.5
Bilal Powell,NYJRB,42.6,2.8
Bryce LoveO,WshRB,15,2.5
T.J. Yeldon,BufRB,26.8,1.8
Jordan WilkinsQ,IndRB,26.4,1.8
Qadree Ollison,AtlRB,27.2,1.8
Cameron Artis-Payne,CarRB,38.9,2.6
Jordan Scarlett,CarRB,19.5,1.3
David MooreD,SeaWR,34.7,5.8
Panthers D/ST,CarD/ST,94.5,5.9
Redskins D/ST,WshD/ST,86.3,5.4
Dan Bailey,MinK,--,--
Graham GanoQ,CarK,123.1,7.7
Mike Gesicki,MiaTE,100.2,6.3
Benjamin WatsonSSPD,NETE,66.6,5.6
Matt LaCosse,NETE,41.8,2.6
Irv Smith Jr.,MinTE,46.7,2.9
Hayden Hurst,BalTE,64.6,4
Miles Boykin,BalWR,79.9,5
Marqise LeeQ,JaxWR,85.6,6.6
Case Keenum,WshQB,99.9,14.3
Chiefs D/ST,KCD/ST,87.3,5.5
Cowboys D/ST,DalD/ST,80.9,5.1
Cardinals D/ST,AriD/ST,83,5.2
Lions D/ST,DetD/ST,84.1,5.3
